Code,Municipality
62216,Morris Township
62217,Mount Pleasant Township
62218,North Bethlehem Township
62219,North Franklin Township
62220,North Strabane Township
62221,Nottingham Township
62222,Peters Township
62223,Robinson Township
62224,Smith Township
62225,Somerset Township
62226,South Franklin Township
62227,South Strabane Township
62228,Union Township
62229,West Bethlehem Township
62230,West Finley Township
62231,West Pike Run Township
62301,Monongahela City
62302,Washington City
62401,Allenport Borough
62402,Beallsville Borough
62403,Bentleyville Borough
62404,Burgettstown Borough
62405,California Borough
62406,Canonsburg Borough
62407,Centerville Borough
62408,Charleroi Borough
62409,Claysville Borough
62410,Coal Center Borough
62411,Cokeburg Borough
62412,Deemston Borough
62413,Donora Borough
62414,Dunlevy Borough
62415,East Washington Borough
62416,Elco Borough
62417,Ellsworth Borough
62418,Finleyville Borough
62419,Houston Borough
62420,Long Branch Borough
62421,Marianna Borough
62422,McDonald Borough
62423,Midway Borough
62424,New Eagle Borough
62425,North Charleroi Borough
62426,Roscoe Borough
62427,Speers Borough
62428,Stockdale Borough
62429,Twilight Borough
62430,West Alexander Borough
62431,West Brownsville Borough
62432,West Middletown Borough
62433,Green Hills Borough
62101,East Bethlehem Township
62201,Amwell Township
62202,Blaine Township
62203,Buffalo Township
62204,Canton Township
62205,Carroll Township
62206,Cecil Township
62207,Chartiers Township
62208,Cross Creek Township
62209,Donegal Township
62210,East Finley Township
62211,Fallowfield Township
62212,Hanover Township
62213,Hopewell Township
62214,Independence Township
62215,Jefferson Township
