Code,Policy Agency
62101,East Bethlehem Township
62205,Carroll Township
62206,Cecil Township
62207,Chartiers Township
62209,Donegal Township
62211,Fallowfield Township
62212,Hanover Township
62214,Independence Township
62215,Jefferson Township
62217,Mount Pleasant Township
62219,North Franklin Township
62220,North Strabane Township
62222,Peters Township
62224,Smith Township
62227,South Strabane Township
62228,Union Township
62231,West Pike Run Township
62301,Monongahela City
62302,Washington City
62402,Beallsville Borough
62403,Bentleyville Borough
62404,Burgettstown Borough
62405,California Borough
62406,Canonsburg Borough
62407,Centerville Borough
62408,Charleroi Borough
62409,Claysville Borough
62410,Coal Center Borough
62413,Donora Borough
62415,East Washington Borough
62419,Houston Borough
62420,Long Branch Borough
62422,McDonald Borough
62423,Midway Borough
62425,North Charleroi Borough
62431,West Brownsville Borough
62501,California University
62502,R E S A Regional
62503,Ell-Co Regional
62504,Washington Co Sheriff
62601,Washington County Sheriffs Dept
